;Created At;Text;Geo Coordinates.latitude;Geo Coordinates.longitude;User Location;Username;User Screen Name;Retweet Count;Classificacao;Observação;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
4550;Tue Jan 10 10:09:28 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;;Arimatéia França;ArimateiaFranca;72;Negativo;;;;;;;;;;;;;;;;
4551;Fri Jan 06 01:09:09 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Maceió, Brasil;Paula Menezes;pvazcarvalho;284;Negativo;;;;;;;;;;;;;;;;
4552;Fri Jan 06 10:04:02 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Honeyland;Vagner Abelha Arnau;professorbee;284;Negativo;;;;;;;;;;;;;;;;
4553;Fri Jan 06 11:46:55 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Cambuquira, Brasil;Claudia Diamante;diamantelilas;284;Negativo;;;;;;;;;;;;;;;;
4554;Fri Jan 06 12:23:23 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Melicio Soares;meliciojunior;284;Negativo;;;;;;;;;;;;;;;;
4555;Fri Jan 06 17:16:16 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasil;Alberto;AlbertoCVillar;284;Negativo;;;;;;;;;;;;;;;;
4556;Fri Jan 06 17:22:27 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brazil - Minas Gerais - BH ;Patrulha da noite ツ;_hiagosc;284;Negativo;;;;;;;;;;;;;;;;
4557;Fri Jan 06 21:22:57 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Goiânia, Brasil;Arnaldo Caixeta;acaixeta;284;Negativo;;;;;;;;;;;;;;;;
4558;Sat Jan 07 10:39:04 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Rio de Janeiro, Brasil;sandra valle;ZuzuValle;284;Negativo;;;;;;;;;;;;;;;;
4559;Sat Jan 07 10:44:10 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;São Paulo, Brasil;€ Dr. Reaça.;VieiraBazilio;284;Negativo;;;;;;;;;;;;;;;;
4560;Sat Jan 07 10:51:23 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Rio de Janeiro, Brasil;Tereza Cristina;yec_terrza;284;Negativo;;;;;;;;;;;;;;;;
4561;Sat Jan 07 10:59:30 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Henrique Nassif;henriquenassif2;284;Negativo;;;;;;;;;;;;;;;;
4562;Sat Jan 07 11:16:14 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Tania;ainatykrishina;284;Negativo;;;;;;;;;;;;;;;;
4563;Sat Jan 07 11:19:33 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Daniel Brito;nieldebrito;284;Negativo;;;;;;;;;;;;;;;;
4564;Sat Jan 07 11:41:24 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Ilha Florianópolis, Florianópolis;Daniel Mangolt;BorraX4;284;Negativo;;;;;;;;;;;;;;;;
4565;Sat Jan 07 18:19:19 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Rio de Janeiro;GTomaz;GigioThomaz;284;Negativo;;;;;;;;;;;;;;;;
4566;Sat Jan 07 20:53:07 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;SP;Egle A Paschoal;ecasariego;284;Negativo;;;;;;;;;;;;;;;;
4567;Sat Jan 07 22:59:03 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasil/RS/Porto Alegre;Não Haverá Trégua;jeversona4;284;Negativo;;;;;;;;;;;;;;;;
4568;Sat Jan 07 23:01:57 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasil;Vado #ApoioLavaJato;vadomec;284;Negativo;;;;;;;;;;;;;;;;
4569;Sat Jan 07 23:03:29 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Caxias do Sul, Brasil;FACÇÃO STF;josesoubrasilia;284;Negativo;;;;;;;;;;;;;;;;
4570;Thu Jan 05 00:22:08 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Erica Jaime;erica_jaime;284;Negativo;;;;;;;;;;;;;;;;
4571;Thu Jan 05 01:56:08 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Gilvanio Altino frei;GilvanioAltinof;284;Negativo;;;;;;;;;;;;;;;;
4572;Thu Jan 05 02:20:13 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;São Paulo Brasil;Marcos J Andrade;mjandrade;284;Negativo;;;;;;;;;;;;;;;;
4573;Thu Jan 05 02:21:01 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Rio de Janeiro - Brasil;San Remo;velhonarede;284;Negativo;;;;;;;;;;;;;;;;
4574;Thu Jan 05 02:21:21 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;alfonse leite   Σ;alfonseleite;284;Negativo;;;;;;;;;;;;;;;;
4575;Thu Jan 05 02:27:37 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasil RS;Vera L. Souza;veralsou;284;Negativo;;;;;;;;;;;;;;;;
4576;Thu Jan 05 02:40:47 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Tijuca, Rio de Janeiro;Adriano Nunes ;Asonunes;284;Negativo;;;;;;;;;;;;;;;;
4577;Thu Jan 05 03:32:19 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brazil;Sandra Torrano;Sleig;284;Negativo;;;;;;;;;;;;;;;;
4578;Thu Jan 05 04:06:13 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Diamantina/MG;Fred Pimenta;FredPimentaDtna;284;Negativo;;;;;;;;;;;;;;;;
4579;Thu Jan 05 06:03:35 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Benevides Junior;drbenevides;284;Negativo;;;;;;;;;;;;;;;;
4580;Thu Jan 05 08:49:53 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Chico Fontanella;frfontanella;284;Negativo;;;;;;;;;;;;;;;;
4581;Thu Jan 05 09:04:58 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;VIX, Brasil; sergio ;semanet;284;Negativo;;;;;;;;;;;;;;;;
4582;Thu Jan 05 10:19:12 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Rio de Janeiro, Brasil;Leo;leocaputomoura;284;Negativo;;;;;;;;;;;;;;;;
4583;Thu Jan 05 10:24:46 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;dartagnanmonte;dartagnanmonte;284;Negativo;;;;;;;;;;;;;;;;
4584;Thu Jan 05 10:50:15 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Belford Roxo,Rio de Janeiro;Wellington Oliveira;Oniromante;284;Negativo;;;;;;;;;;;;;;;;
4585;Thu Jan 05 11:13:04 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;CAXIAS - MARANHÃO;ISMAEL SILVEIRA;ISMAELOABMA;284;Negativo;;;;;;;;;;;;;;;;
4586;Thu Jan 05 11:43:31 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;São Paulo, Brasil;Joseline Bonilha;JoselineBonilha;284;Negativo;;;;;;;;;;;;;;;;
4587;Thu Jan 05 12:46:04 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;SP;Vera Martins;Vlamartinp;284;Negativo;;;;;;;;;;;;;;;;
4588;Thu Jan 05 13:15:50 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Sao Paulo,Brasil;Um Grande Sonho;Oportunidade7;284;Negativo;;;;;;;;;;;;;;;;
4589;Thu Jan 05 14:07:52 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Maricá-RJ;Elen;ElenVoar;284;Negativo;;;;;;;;;;;;;;;;
4590;Thu Jan 05 14:15:57 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasil;Cris Morais;crismoraisfisio;284;Negativo;;;;;;;;;;;;;;;;
4591;Thu Jan 05 19:00:25 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Porto Alegre RS Brasil;Tiago Russell;tiagorussell;284;Negativo;;;;;;;;;;;;;;;;
4592;Thu Jan 05 19:25:55 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;ester santos almeida;esteralmeida81;284;Negativo;;;;;;;;;;;;;;;;
4593;Thu Jan 05 22:25:33 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Vlag;veralagodoy;284;Negativo;;;;;;;;;;;;;;;;
4594;Wed Jan 04 17:57:06 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Athos Gibram Moro;athosgibram;284;Negativo;;;;;;;;;;;;;;;;
4595;Wed Jan 04 18:15:15 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;sheyla anny;sheyla_anny;284;Negativo;;;;;;;;;;;;;;;;
4596;Wed Jan 04 18:22:35 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Carlos Marcondes;marcondescc;284;Negativo;;;;;;;;;;;;;;;;
4597;Wed Jan 04 18:44:26 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Yuri;yurizurkovisk;284;Negativo;;;;;;;;;;;;;;;;
4598;Wed Jan 04 19:30:14 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;curitiba;francisco hirato nag;fhirato;284;Negativo;;;;;;;;;;;;;;;;
4599;Wed Jan 04 19:39:22 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Nilópolis, Brasil;ADILSON COELHO;CoelhAdilson;284;Negativo;;;;;;;;;;;;;;;;
4600;Wed Jan 04 19:48:28 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Hildegarda Muche;HildegardaMuche;284;Negativo;;;;;;;;;;;;;;;;
4601;Wed Jan 04 20:04:46 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;André;andreccaldeira;284;Negativo;;;;;;;;;;;;;;;;
4602;Wed Jan 04 20:17:45 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;MIR - MACAE'- RJ;Luciane Costa;lucianecosta12;284;Negativo;;;;;;;;;;;;;;;;
4603;Wed Jan 04 20:21:23 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;BRASIL;SOARES;MARIASSOARES;284;Negativo;;;;;;;;;;;;;;;;
4604;Wed Jan 04 20:28:29 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brazil - Espírito Santo;Entendedor ;entendedor;284;Negativo;;;;;;;;;;;;;;;;
4605;Wed Jan 04 20:41:05 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brazil;Marcio;marciogushiken;284;Negativo;;;;;;;;;;;;;;;;
4606;Wed Jan 04 20:52:03 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Elaine Shiga;ElaineShiga;284;Negativo;;;;;;;;;;;;;;;;
4607;Wed Jan 04 20:54:21 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Por aí;Cáustico™;AcordouAcordou;284;Negativo;;;;;;;;;;;;;;;;
4608;Wed Jan 04 20:56:47 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;SÃO JOSÉ/SC;jane rotta;rottajane;284;Negativo;;;;;;;;;;;;;;;;
4609;Wed Jan 04 21:07:09 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Aracatuba S.P;jav;VinhalAbraao;284;Negativo;;;;;;;;;;;;;;;;
4610;Wed Jan 04 21:40:13 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasil;Marly Winnie;Easyoil_Br;284;Negativo;;;;;;;;;;;;;;;;
4611;Wed Jan 04 21:43:01 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Sofia Isabella;sofybella8;284;Negativo;;;;;;;;;;;;;;;;
4612;Wed Jan 04 21:52:03 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;santa luzia (grande BH).;wesley augusto;wesleya51577156;284;Negativo;;;;;;;;;;;;;;;;
4613;Wed Jan 04 21:56:39 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Goiânia - GO - Brasil;Márcio Neves;nevescorretor;284;Negativo;;;;;;;;;;;;;;;;
4614;Wed Jan 04 21:59:03 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;República de Curitiba;Marcelo Silva;marcelo101971;284;Negativo;;;;;;;;;;;;;;;;
4615;Wed Jan 04 22:05:16 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasil - São Paulo;Déborah França;dlivia;284;Negativo;;;;;;;;;;;;;;;;
4616;Wed Jan 04 22:08:24 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Nizetti Soares;nizetticardoso;284;Negativo;;;;;;;;;;;;;;;;
4617;Wed Jan 04 22:22:59 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;RODRIGO ALVES;FLADIGO;284;Negativo;;;;;;;;;;;;;;;;
4618;Wed Jan 04 22:46:16 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Ana Paula A. Brito;AnaPBrito13;284;Negativo;;;;;;;;;;;;;;;;
4619;Wed Jan 04 22:48:06 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Barretos;Rosi Brito Sia;rosisia;284;Negativo;;;;;;;;;;;;;;;;
4620;Wed Jan 04 23:02:21 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Jose Americo Ramalho;AmericoRamalho;284;Negativo;;;;;;;;;;;;;;;;
4621;Wed Jan 04 23:20:41 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;;Jose Motter;motter_ja;284;Negativo;;;;;;;;;;;;;;;;
4622;Wed Jan 04 23:25:12 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brasília, Distrito Federal;Diego Luis Lima;diegoluis_lima;284;Negativo;;;;;;;;;;;;;;;;
4623;Wed Jan 04 23:35:56 +0000 2017;RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;;;Brazil;Rogerio Lima;rogeriolima1976;284;Negativo;;;;;;;;;;;;;;;;
4624;Thu Jan 05 03:48:35 +0000 2017;RT @vemprarua: Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt;;;francisco sá mg;Adailson santos;Adailson26sant;6;Negativo;;;;;;;;;;;;;;;;
4625;Wed Jan 04 20:47:54 +0000 2017;RT @vemprarua: Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt;;;Brasil;Ary ANTI PT;Ary_AntiPT;6;Negativo;;;;;;;;;;;;;;;;
4626;Wed Jan 04 20:49:27 +0000 2017;RT @vemprarua: Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt;;;No coração das Minas Gerais ;Alemendes;alemendes0110;6;Negativo;;;;;;;;;;;;;;;;
4627;Wed Jan 04 21:04:59 +0000 2017;RT @vemprarua: Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt;;;Pernambuco;Duda;cccalado;6;Negativo;;;;;;;;;;;;;;;;
4628;Wed Jan 04 21:14:57 +0000 2017;RT @vemprarua: Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt;;;;PAULO MIRANDA;PAULOPARMM;6;Negativo;;;;;;;;;;;;;;;;
4629;Wed Jan 04 21:18:09 +0000 2017;RT @vemprarua: Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt;;;Brasil;#NeverNewWorldOrder;liwizard;6;Negativo;;;;;;;;;;;;;;;;
4631;Thu Jan 05 09:49:59 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;;Rogério C Guimarães;rocoguima;9;Negativo;;;;;;;;;;;;;;;;
4632;Thu Jan 05 09:54:36 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;;OnLyKetanAmr;OnlyKetanAmr;9;Negativo;;;;;;;;;;;;;;;;
4633;Thu Jan 05 10:56:22 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;RJ - Brasil;Folhaovento;Folhaovento;9;Negativo;;;;;;;;;;;;;;;;
4634;Wed Jan 04 21:29:58 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;Teresina-Piauí-Brasil ;Augusto Basilio;basilioaugusto;9;Negativo;;;;;;;;;;;;;;;;
4635;Wed Jan 04 21:41:51 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;Brasil/RS/Porto Alegre;Não Haverá Trégua;jeversona4;9;Negativo;;;;;;;;;;;;;;;;
4636;Wed Jan 04 21:46:27 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;;ana cristina;anaalmeidaca38;9;Negativo;;;;;;;;;;;;;;;;
4637;Wed Jan 04 21:47:45 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;Salvador, Brasil;daniel de jesus;901Max;9;Negativo;;;;;;;;;;;;;;;;
4638;Wed Jan 04 22:36:19 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;Pouso Alegre, Brasil;Valdéa;valdealfc;9;Negativo;;;;;;;;;;;;;;;;
4639;Wed Jan 04 23:50:48 +0000 2017;RT @Vicente_Q_Filho: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/s4HYllJnZM by #Ary_AntiP…;;;Rio grande do norte;Jose Alves;josear995;9;Negativo;;;;;;;;;;;;;;;;
4658;Sat Jan 07 15:02:29 +0000 2017;"RT @vitimasBancoop: o governo de Minas paga R$ 3.500 mensais por preso para a GPA.
A Umanizzare cobra quase R$ 6.000 do Amazonas";;;Curitiba / PR;Jota Agostinho;blogdojota;4;Negativo;;;;;;;;;;;;;;;;
4659;Sat Jan 07 15:49:36 +0000 2017;"RT @vitimasBancoop: o governo de Minas paga R$ 3.500 mensais por preso para a GPA.
A Umanizzare cobra quase R$ 6.000 do Amazonas";;;;Rogério C Guimarães;rocoguima;4;Negativo;;;;;;;;;;;;;;;;
4660;Sat Jan 07 17:24:50 +0000 2017;"RT @vitimasBancoop: o governo de Minas paga R$ 3.500 mensais por preso para a GPA.
A Umanizzare cobra quase R$ 6.000 do Amazonas";;;Pernambuco;Duda;cccalado;4;Negativo;;;;;;;;;;;;;;;;
4661;Sun Jan 08 11:35:03 +0000 2017;"RT @vitimasBancoop: o governo de Minas paga R$ 3.500 mensais por preso para a GPA.
A Umanizzare cobra quase R$ 6.000 do Amazonas";;;;Lela Cohen Xavier;lelacohen;4;Negativo;;;;;;;;;;;;;;;;
4703;Thu Jan 05 09:01:20 +0000 2017;RT @xandalquadros: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros  https://t.co/VARiO6nzYN;;;BHZ;Edmilson Magalhães;Edmilsonmm;2;Negativo;;;;;;;;;;;;;;;;
4704;Thu Jan 05 09:01:51 +0000 2017;RT @xandalquadros: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros  https://t.co/VARiO6nzYN;;;Belo Horizonte, Minas Gerais;Sidney Galo;sfsidney;2;Negativo;;;;;;;;;;;;;;;;
